# wavelength(nm) flux flux_error
1.921311289988693488e+03 nan nan
1.921317905805660757e+03 nan nan
1.921324521494370174e+03 nan nan
1.921331137054819010e+03 nan nan
1.921337752487002945e+03 nan nan
1.921344367790918113e+03 nan nan
1.921350982966561332e+03 nan nan
1.921357598013928509e+03 nan nan
1.921364212933016006e+03 nan nan
1.921370827723820412e+03 nan nan
1.921377442386337407e+03 nan nan
1.921384056920563808e+03 nan nan
1.921390671326495976e+03 nan nan
1.921397285604129365e+03 nan nan
1.921403899753461246e+03 nan nan
1.921410513774487299e+03 nan nan
1.921417127667204113e+03 nan nan
1.921423741431607823e+03 nan nan
1.921430355067694563e+03 nan nan
1.921436968575461378e+03 nan nan
1.921443581954903493e+03 nan nan
1.921450195206017952e+03 nan nan
1.921456808328800662e+03 nan nan
1.921463421323247985e+03 nan nan
1.921470034189356511e+03 nan nan
1.921476646927122147e+03 nan nan
1.921483259536541254e+03 nan nan
1.921489872017610196e+03 nan nan
1.921496484370325334e+03 nan nan
1.921503096594682802e+03 nan nan
1.921509708690679190e+03 nan nan
1.921516320658310406e+03 nan nan
1.921522932497572810e+03 nan nan
1.921529544208462767e+03 nan nan
1.921536155790976636e+03 nan nan
1.921542767245110554e+03 nan nan
1.921549378570861109e+03 nan nan
1.921555989768224208e+03 nan nan
1.921562600837196214e+03 nan nan
1.921569211777773944e+03 nan nan
1.921575822589953077e+03 nan nan
1.921582433273730203e+03 nan nan
1.921589043829101229e+03 nan nan
1.921595654256062971e+03 nan nan
1.921602264554611111e+03 nan nan
1.921608874724742464e+03 nan nan
1.921615484766453164e+03 nan nan
1.921622094679739575e+03 nan nan
1.921628704464597831e+03 nan nan
1.921635314121024294e+03 nan nan
1.921641923649015325e+03 nan nan
1.921648533048567060e+03 nan nan
1.921655142319675633e+03 nan nan
1.921661751462338088e+03 nan nan
1.921668360476550106e+03 nan nan
1.921674969362307820e+03 nan nan
1.921681578119608048e+03 nan nan
1.921688186748446697e+03 nan nan
1.921694795248820128e+03 nan nan
1.921701403620724705e+03 nan nan
1.921708011864156788e+03 nan nan
1.921714619979112740e+03 nan nan
1.921721227965588469e+03 nan nan
1.921727835823580563e+03 nan nan
1.921734443553085157e+03 nan nan
1.921741051154098841e+03 nan nan
1.921747658626617749e+03 nan nan
1.921754265970637789e+03 nan nan
1.921760873186155550e+03 nan nan
1.921767480273167621e+03 nan nan
1.921774087231670364e+03 nan nan
1.921780694061659233e+03 nan nan
1.921787300763131498e+03 nan nan
1.921793907336082611e+03 nan nan
1.921800513780509391e+03 nan nan
1.921807120096408198e+03 nan nan
1.921813726283774713e+03 nan nan
1.921820332342605752e+03 nan nan
1.921826938272897905e+03 nan nan
1.921833544074646852e+03 nan nan
1.921840149747848727e+03 nan nan
1.921846755292500575e+03 nan nan
1.921853360708598530e+03 nan nan
1.921859965996138271e+03 nan nan
1.921866571155116617e+03 nan nan
1.921873176185529928e+03 nan nan
1.921879781087373885e+03 nan nan
1.921886385860645532e+03 nan nan
1.921892990505341004e+03 nan nan
1.921899595021455980e+03 nan nan
1.921906199408987504e+03 nan nan
1.921912803667931485e+03 nan nan
1.921919407798284283e+03 nan nan
1.921926011800042488e+03 nan nan
1.921932615673201781e+03 nan nan
1.921939219417759205e+03 nan nan
1.921945823033710212e+03 nan nan
1.921952426521052075e+03 nan nan
1.921959029879780473e+03 nan nan
1.921965633109891314e+03 nan nan
1.921972236211381869e+03 nan nan
1.921978839184247818e+03 nan nan
1.921985442028485750e+03 nan nan
1.921992044744091572e+03 nan nan
1.921998647331061875e+03 nan nan
1.922005249789392792e+03 nan nan
1.922011852119080913e+03 nan nan
1.922018454320122146e+03 nan nan
1.922025056392513306e+03 nan nan
1.922031658336250075e+03 nan nan
1.922038260151329268e+03 nan nan
1.922044861837746794e+03 nan nan
1.922051463395499241e+03 nan nan
1.922058064824582971e+03 nan nan
1.922064666124993892e+03 nan nan
1.922071267296728365e+03 nan nan
1.922077868339782981e+03 nan nan
1.922084469254154101e+03 nan nan
1.922091070039837632e+03 nan nan
1.922097670696829937e+03 nan nan
1.922104271225127604e+03 nan nan
1.922110871624727224e+03 nan nan
1.922117471895624021e+03 nan nan
1.922124072037815040e+03 nan nan
1.922130672051296642e+03 nan nan
1.922137271936064735e+03 nan nan
1.922143871692116136e+03 nan nan
1.922150471319446297e+03 nan nan
1.922157070818052944e+03 nan nan
1.922163670187930620e+03 nan nan
1.922170269429076825e+03 nan nan
1.922176868541487693e+03 nan nan
1.922183467525159358e+03 nan nan
1.922190066380088183e+03 nan nan
1.922196665106270075e+03 nan nan
1.922203263703701850e+03 nan nan
1.922209862172380099e+03 nan nan
1.922216460512300273e+03 nan nan
1.922223058723458735e+03 nan nan
1.922229656805852755e+03 nan nan
1.922236254759477561e+03 nan nan
1.922242852584329967e+03 nan nan
1.922249450280406563e+03 nan nan
1.922256047847702803e+03 nan nan
1.922262645286215957e+03 nan nan
1.922269242595941478e+03 nan nan
1.922275839776875955e+03 nan nan
1.922282436829015978e+03 nan nan
1.922289033752357682e+03 nan nan
1.922295630546897428e+03 nan nan
1.922302227212631351e+03 nan nan
1.922308823749555813e+03 nan nan
